id,text_prompt,image_category,style,complexity,tags,width,height,frames,fps,color_palette,lighting,mood
1,A golden sunset over a calm ocean with silhouetted palm trees,landscape,photorealistic,medium,"sunset,ocean,palm,golden",512,512,1,0,"warm,orange,gold","natural","peaceful"
2,A futuristic city skyline at night with neon lights and flying cars,cityscape,cyberpunk,high,"city,night,neon,futuristic,scifi",512,512,24,30,"blue,purple,pink","artificial","energetic"
3,A white fluffy cat sitting on a red velvet chair,animals,realistic,low,"cat,chair,indoor,pet",256,256,1,0,"red,white,brown","soft","calm"
4,A magical forest with glowing mushrooms and fairies dancing,fantasy,digital_art,high,"forest,mushroom,fairy,magic,glow",512,512,48,24,"green,blue,purple","magical","whimsical"
5,An astronaut floating in space surrounded by colorful nebulae,space,photorealistic,high,"astronaut,space,nebula,stars",512,512,30,30,"blue,purple,pink","cosmic","awe"
6,A cozy cabin in snowy mountains during winter,landscape,painterly,medium,"cabin,snow,mountain,winter,cozy",512,512,1,0,"white,blue,brown","cold","peaceful"
7,Abstract geometric shapes with vibrant colors on black background,abstract,digital_art,medium,"geometric,abstract,colorful,shapes",256,256,1,0,"multicolor,black","studio","neutral"
8,A medieval knight in shining armor holding a glowing sword,character,fantasy,high,"knight,armor,sword,medieval,fantasy",512,512,1,0,"silver,gold,blue","dramatic","heroic"
9,A peaceful Japanese zen garden with cherry blossom trees,landscape,watercolor,medium,"japan,zen,garden,cherry_blossom",512,512,1,0,"pink,white,green","natural","serene"
10,A roaring dragon perched on a volcanic mountain breathing fire,fantasy,digital_art,high,"dragon,volcano,fire,mountain,epic",512,512,60,24,"red,orange,black","fire","fierce"
11,A young woman reading a book under a large oak tree in autumn,character,realistic,low,"woman,book,tree,autumn,reading",256,256,1,0,"orange,brown,green","soft","tranquil"
12,A bustling marketplace in ancient Rome with merchants and crowds,historical,painterly,high,"rome,market,ancient,crowd,history",512,512,1,0,"warm,earthy,brown","natural","lively"
13,A tiny fairy sitting on a dewdrop mushroom at dawn,fantasy,macro,medium,"fairy,mushroom,dewdrop,dawn,tiny",256,256,1,0,"green,pink,gold","soft","magical"
14,Deep sea bioluminescent creatures in the dark ocean depths,underwater,photorealistic,high,"ocean,bioluminescent,creature,deep,sea",512,512,48,24,"blue,teal,purple","bioluminescent","mysterious"
15,A vintage steam locomotive crossing a misty valley bridge,vehicles,painterly,medium,"train,steam,bridge,valley,vintage",512,512,1,0,"grey,brown,green","foggy","nostalgic"
16,A chef preparing sushi in a modern Japanese kitchen,food,photorealistic,medium,"chef,sushi,kitchen,japanese,food",256,256,1,0,"white,red,green","bright","professional"
17,Two wolves howling at a full moon in a pine forest,animals,digital_art,medium,"wolves,moon,forest,howl,night",512,512,1,0,"silver,grey,black","moonlight","wild"
18,A child flying a colorful kite on a sunny beach day,character,realistic,low,"child,kite,beach,sunny,joy",256,256,1,0,"blue,red,yellow","bright","joyful"
19,An ancient Egyptian pharaoh seated on a golden throne,historical,digital_art,high,"pharaoh,egypt,throne,gold,ancient",512,512,1,0,"gold,blue,black","dramatic","regal"
20,A hummingbird hovering near a vibrant tropical flower,animals,photorealistic,medium,"hummingbird,flower,tropical,hover,bird",256,256,1,0,"red,green,purple","natural","delicate"
21,Aurora borealis dancing over a frozen Scandinavian lake,landscape,photorealistic,high,"aurora,borealis,lake,frozen,nordic",512,512,60,30,"green,purple,blue","ethereal","magical"
22,A steampunk inventor in a clockwork laboratory with gadgets,character,steampunk,high,"steampunk,inventor,clockwork,gadget,lab",512,512,1,0,"brass,brown,gold","warm","inventive"
23,A samurai warrior standing in a bamboo forest at dusk,character,digital_art,high,"samurai,warrior,bamboo,forest,dusk",512,512,1,0,"green,grey,orange","dusk","honorable"
24,A colorful hot air balloon festival over rolling hills,landscape,photorealistic,medium,"balloon,festival,hills,colorful,sky",512,512,30,24,"multicolor,green,blue","bright","festive"
25,An underwater mermaid swimming through coral reefs,fantasy,digital_art,high,"mermaid,coral,reef,underwater,fantasy",512,512,48,24,"blue,teal,pink","filtered","dreamy"
26,A robot dog playing fetch in a futuristic park,scifi,digital_art,medium,"robot,dog,park,future,technology",256,256,48,30,"silver,green,blue","bright","playful"
27,Autumn leaves falling in slow motion in a city park,landscape,photorealistic,medium,"autumn,leaves,city,park,fall",512,512,60,24,"orange,red,yellow","soft","peaceful"
28,A pirate ship sailing through a thunderstorm at sea,vehicles,painterly,high,"pirate,ship,storm,sea,adventure",512,512,48,24,"dark,grey,brown","stormy","adventurous"
29,A microscopic view of a snowflake crystal structure,science,macro,medium,"snowflake,crystal,microscope,ice,pattern",256,256,1,0,"white,blue,silver","cold","intricate"
30,A phoenix rising from flames against a dark sky,fantasy,digital_art,high,"phoenix,fire,flames,rebirth,mythical",512,512,60,24,"red,orange,gold","fire","powerful"
31,A cozy coffee shop interior on a rainy day with warm lights,interior,photorealistic,low,"coffee,cozy,rain,warm,shop",256,256,1,0,"brown,amber,warm","warm","inviting"
32,A giant whale swimming above a sunken ancient city,fantasy,digital_art,high,"whale,underwater,ancient,city,surreal",512,512,48,24,"blue,teal,purple","filtered","surreal"
33,A field of lavender stretching to the horizon at sunset,landscape,photorealistic,low,"lavender,field,sunset,purple,france",512,512,1,0,"purple,pink,gold","warm","romantic"
34,A futuristic space station orbiting Earth with solar panels,scifi,digital_art,high,"space_station,earth,orbit,solar,future",512,512,30,30,"silver,blue,black","cosmic","technical"
35,A little girl dancing in the rain with yellow rain boots,character,painterly,low,"girl,rain,dancing,boots,joy",256,256,30,24,"yellow,grey,blue","rainy","joyful"
36,Ancient Mayan temple covered in jungle vines and mist,historical,photorealistic,high,"mayan,temple,jungle,vines,ancient",512,512,1,0,"green,brown,grey","misty","mysterious"
37,A polar bear and her cub on arctic ice at sunset,animals,photorealistic,medium,"polar_bear,cub,arctic,ice,sunset",512,512,1,0,"white,orange,blue","cold","tender"
38,A neon-lit cyberpunk alley with rain reflections on pavement,cityscape,cyberpunk,high,"neon,alley,rain,reflection,cyberpunk",512,512,30,30,"blue,pink,purple","rain","gritty"
39,A garden of giant colorful mushrooms in a fantasy land,fantasy,digital_art,medium,"mushroom,giant,garden,fantasy,colorful",512,512,1,0,"red,blue,yellow","magical","whimsical"
40,An old fisherman on a wooden boat during a calm sunrise,character,painterly,low,"fisherman,boat,sunrise,calm,old",256,256,1,0,"orange,blue,brown","warm","nostalgic"
41,A time-lapse of a blooming flower from bud to full bloom,nature,photorealistic,medium,"flower,bloom,timelapse,bud,nature",256,256,60,24,"pink,green,yellow","natural","uplifting"
42,A massive wave crashing on rocky coastal cliffs,nature,photorealistic,high,"wave,ocean,cliff,crash,power",512,512,30,30,"blue,white,grey","dramatic","powerful"
43,A cute baby panda playing with bamboo shoots in grass,animals,photorealistic,low,"panda,baby,bamboo,cute,play",256,256,1,0,"black,white,green","soft","adorable"
44,A wizard casting a powerful spell in an ancient library,character,fantasy,high,"wizard,spell,library,magic,ancient",512,512,1,0,"blue,purple,gold","magical","mysterious"
45,A burning campfire under a star-filled sky in the wilderness,landscape,photorealistic,medium,"campfire,stars,wilderness,night,fire",512,512,1,0,"orange,red,black","firelight","peaceful"
46,A cybernetic eye with complex circuit patterns glowing blue,scifi,digital_art,medium,"eye,cybernetic,circuit,glow,technology",256,256,1,0,"blue,black,silver","neon","futuristic"
47,A grand castle on a hilltop surrounded by storm clouds,architecture,painterly,high,"castle,hilltop,storm,clouds,grand",512,512,1,0,"grey,purple,brown","dramatic","epic"
48,A diverse group of children playing in a colorful playground,character,realistic,low,"children,playground,play,diverse,joy",256,256,1,0,"multicolor,bright","bright","joyful"
49,A ghostly apparition floating through a dark haunted mansion,horror,digital_art,high,"ghost,haunted,mansion,dark,spooky",512,512,30,24,"grey,white,black","dark","eerie"
50,A renaissance painting style portrait of a modern woman,portrait,painterly,medium,"portrait,renaissance,woman,classical,art",256,256,1,0,"warm,earthy,gold","soft","classical"
